,date,sum_balance_harmony
339,2022-11-22,995061471804.0
340,2022-11-23,1010269705746.0
341,2022-11-26,797260787914.0
342,2022-11-27,1285459699706.0
343,2022-11-28,1027302853919.0
344,2022-11-29,1041211627435.0
345,2022-11-30,1089373040646.0
346,2022-12-03,745499947490.0
347,2022-12-04,1296861716542.0
348,2022-12-05,955360434482.0
349,2022-12-06,886355938052.0
350,2022-12-07,877318127355.0
351,2022-12-10,709128882631.0
352,2022-12-11,1167876525483.0
353,2022-12-12,997460405281.0
354,2022-12-13,825837318990.0
355,2022-12-14,928447397459.0
356,2022-12-17,879596056352.0
357,2022-12-18,1341005321500.0
358,2022-12-19,1270153446992.0
359,2022-12-20,1272496667494.0
360,2022-12-21,1148761022360.0
361,2022-12-24,801201105554.0
362,2022-12-25,1594000382668.0
363,2022-12-26,1341148534665.0
364,2022-12-28,1267616923702.0
365,2022-12-31,1401615703266.0
366,2023-01-01,2031222701504.0
367,2023-01-02,1516142195754.0
368,2023-01-03,2162665063262.0
369,2023-01-04,1363631373808.0
370,2023-01-07,1837745703841.0
371,2023-01-08,1595769250288.0
372,2023-01-09,1485906544113.0
373,2023-01-10,1334677354559.0
374,2023-01-11,1659640794028.0
375,2023-01-14,1366845183529.0
376,2023-01-15,2241750085933.0
377,2023-01-17,1931288495748.0
378,2023-01-18,2192350258451.0
379,2023-01-21,1401850089958.0
380,2023-01-22,2053084339759.0
381,2023-01-23,2329995170964.0
382,2023-01-24,2963920226200.0
383,2023-01-25,1857629056800.0
384,2023-01-28,1585100720407.0
385,2023-01-29,2893239330979.0
386,2023-01-30,1955821877134.0
387,2023-01-31,1736935846172.0
388,2023-02-01,1932412190107.0
389,2023-02-05,1651073040025.0
390,2023-02-06,3585851965531.0
391,2023-02-07,1947638737442.0
392,2023-02-08,1976785487306.0
393,2023-02-12,2909159545419.0
394,2023-02-13,5170606625972.0
395,2023-02-14,2122617186347.0
396,2023-02-15,3978847957337.0
397,2023-02-19,2239394658652.0
398,2023-02-20,4118812851504.0
399,2023-02-21,1949355016295.0
400,2023-02-22,6046881840764.0
401,2023-02-25,2037829372032.0
402,2023-02-26,3906949279799.0
403,2023-02-27,3220783105695.0
404,2023-02-28,3488190995917.0
405,2023-03-01,2972844594542.0
406,2023-03-04,2450100910912.0
407,2023-03-05,3084146360526.0
408,2023-03-06,2669923595513.0
409,2023-03-07,3916331593284.0
410,2023-03-11,2501230100471.0
411,2023-03-12,6364003371294.0
412,2023-03-13,5031586040191.0
413,2023-03-14,3754225625732.0
414,2023-03-15,500324128795.0
415,2023-03-18,2677203135985.0
416,2023-03-19,3459107744015.0
417,2023-03-25,4262692032996.0
418,2023-03-26,1491172806002.0
419,2023-03-27,2307544390212.0
420,2023-03-28,1759027642982.0
421,2023-03-29,1859032769453.0
422,2023-04-03,813708305677.0
423,2023-04-04,1860283978386.0
424,2023-04-05,1070033671439.0
425,2023-04-08,1670087585312.0
426,2023-04-09,2129916137928.0
427,2023-04-10,2378597117741.0
428,2023-04-11,1634118751329.0
429,2023-04-15,2047719899795.0
430,2023-04-16,3135824559729.0
431,2023-04-17,3899890924401.0
432,2023-04-18,2045616020130.0
433,2023-04-19,3012152500042.0
434,2023-04-24,1471614924965.0
435,2023-04-25,2781347799139.0
436,2023-04-26,3308209698857.0
437,2023-04-29,1762256136579.0
438,2023-04-30,2891076457379.0
439,2023-05-01,3226986003743.0
440,2023-05-02,1965670912609.0
441,2023-05-03,2659265241570.0
442,2023-05-06,3716878664511.0
443,2023-05-07,3056813271508.0
444,2023-05-08,3284497092145.0
445,2023-05-09,3727318898314.0
446,2023-05-10,4187063884260.0
447,2023-05-13,4305180659408.0
448,2023-05-14,4801274003073.0
449,2023-05-15,3622320521277.0
450,2023-05-17,5888421525998.0
451,2023-05-20,3037073561727.0
452,2023-05-21,2961784502295.0
453,2023-05-22,3943041413730.0
454,2023-05-23,2541893159796.0
455,2023-05-24,1836091580617.0
456,2023-05-27,1729912417606.0
457,2023-05-28,2492461427882.0
458,2023-05-29,1201935026491.0
459,2023-05-30,2897942524908.0
460,2023-05-31,3193684007159.0
461,2023-06-03,2718288983989.0
462,2023-06-06,3723855423952.0
463,2023-06-07,2802968740743.0
464,2023-06-10,1696896331606.0
465,2023-06-11,2803572581777.0
466,2023-06-12,3150469543426.0
467,2023-06-13,1502675202194.0
468,2023-06-14,2183931627649.0
469,2023-06-17,1340869627307.0
470,2023-06-18,2331339965626.0
