,date,sum_deposit
346,2021-03-01,1082304064633.0
347,2021-03-02,1032809333066.0
348,2021-03-03,673158915638.0
349,2021-03-04,225284772795.0
350,2021-03-05,171225481888.0
351,2021-03-06,829985242857.0
352,2021-03-07,953255055907.0
353,2021-03-08,1749854771863.0
354,2021-03-09,2416843798885.0
355,2021-03-10,1127540808580.0
356,2021-03-11,87415626956.0
357,2021-03-12,129664013428.0
358,2021-03-13,1058253751069.0
359,2021-03-14,1198083098234.0
360,2021-03-15,1119075491201.0
361,2021-03-16,1834537104832.0
362,2021-03-17,921146829412.0
363,2021-03-18,97942363439.0
364,2021-03-19,60060230473.0
365,2021-03-20,54334093223.0
366,2021-03-21,61930060274.0
367,2021-03-22,58127921215.0
368,2021-03-23,65423380236.0
369,2021-03-24,79081351649.0
370,2021-03-25,642372271865.0
371,2021-03-26,287469695353.0
372,2021-03-27,1230335781816.0
373,2021-03-28,885302186107.0
374,2021-03-29,161167753917.0
375,2021-03-30,783724894616.0
376,2021-03-31,563911559754.0
377,2021-04-01,70855370059.0
378,2021-04-02,120190409381.0
379,2021-04-03,715891351222.0
380,2021-04-04,1102747592602.0
381,2021-04-05,646507134692.0
382,2021-04-06,704039747071.0
383,2021-04-07,780315139908.0
384,2021-04-08,79605054003.0
385,2021-04-09,95892745219.0
386,2021-04-10,421686838385.0
387,2021-04-11,531238009840.0
388,2021-04-12,576944208484.0
389,2021-04-13,844238966037.0
390,2021-04-14,682852804011.0
391,2021-04-15,91484750023.0
392,2021-04-16,91135318523.0
393,2021-04-17,466387079212.0
394,2021-04-18,473929080070.0
395,2021-04-19,865408960182.0
396,2021-04-20,602565652502.0
397,2021-04-21,600986151491.0
398,2021-04-22,93838225360.0
399,2021-04-23,112358712828.0
400,2021-04-24,595873391115.0
401,2021-04-25,476938975225.0
402,2021-04-26,538286044217.0
403,2021-04-27,798119125569.0
404,2021-04-28,960002394732.0
405,2021-04-29,143650723132.0
406,2021-04-30,139351142807.0
407,2021-05-01,601378450993.0
408,2021-05-02,1098940749790.0
409,2021-05-03,485801782529.0
410,2021-05-04,86914186051.0
411,2021-05-05,400581046980.0
412,2021-05-06,103357613126.0
413,2021-05-07,95252261857.0
414,2021-05-08,509931597490.0
415,2021-05-09,548346824399.0
416,2021-05-10,800963126532.0
417,2021-05-11,1026373506368.0
418,2021-05-12,720753321045.0
419,2021-05-13,59369329271.0
420,2021-05-14,97460868547.0
421,2021-05-15,538985650984.0
422,2021-05-16,490024841727.0
423,2021-05-17,500598620776.0
424,2021-05-18,519191057557.0
425,2021-05-19,582317475708.0
426,2021-05-20,102396768698.0
427,2021-05-21,101652338917.0
428,2021-05-22,750789721881.0
429,2021-05-23,770568988596.0
430,2021-05-24,915374225211.0
431,2021-05-25,2086055118235.0
432,2021-05-26,1469166042616.0
433,2021-05-27,150094803544.0
434,2021-05-28,106030792226.0
435,2021-05-29,818194627514.0
436,2021-05-30,957281871160.0
437,2021-05-31,830032348895.0
438,2021-06-01,569298438013.0
439,2021-06-02,712443624331.0
440,2021-06-03,154909667628.0
441,2021-06-04,73383832539.0
442,2021-06-05,72098260791.0
